PE (V):8000, 3rd Electrode (V):4000, x_width (mm):0, y_height (mm):0, 1st Solenoid wire current (A):5.848292590887, 2st Solenoid wire current (A):0.15890097727815
ion#, endposx (mm), endposy (mm), endposz (mm), endvelx (mm/usec), endvely (mm/usec), endvelz (mm/usec)
240,1004.988842487,-12.280800310785,-5.9718536939078,1231.7937553657,-39.71346897524,-19.307480487524
241,1004.9824757856,-15.170471126204,-0.83345162872431,1231.8998194434,-48.749830253757,-2.6740476123198
242,1004.9148598796,3.4229653578259,12.123554266278,1231.7609861549,11.108588363427,39.331480953422
243,1004.9350304836,5.1803505805358,-1.9801474589644,1231.7644362323,16.98121908201,-6.4923459192
244,1004.9312366059,7.3666310962299,2.9493722736759,1231.7460373656,24.094639350095,9.6441476845235
245,1004.9301235885,-4.465310003917,-15.561469284739,1233.7548109965,-13.346161930063,-46.494712830089
246,1004.9286302713,3.5230854270516,-8.5763089104973,1231.7402869689,11.500790976044,-28.003739940564
247,1004.9981741211,-7.1605605039328,-2.8666577630198,1231.7484207231,-23.423459106942,-9.3749711993956
248,1004.9922050744,-9.7443900467191,5.2140461191833,1231.7390433269,-31.714823655255,16.973331848844
249,1004.9798144574,-6.5520299335116,-14.886754292531,1232.0695489279,-20.907003491761,-47.491373733674
250,1004.9122084187,10.984645371392,-9.5064352980979,1231.842353799,35.411252890666,-30.651449969513
251,1004.9786298351,-1.161723121125,15.69406794659,1231.9698353749,-3.7169071375115,50.272112631607
252,1004.9619802473,10.657726549179,3.3184134261101,1231.7406913533,34.685640803155,10.796429065099
253,1004.9540014929,-12.071533098303,11.598063881216,1233.398110734,-36.651992564827,35.221001331549
254,1004.9112212452,-3.9094289534088,-13.476248396002,1231.8115353701,-12.632042653877,-43.52964913808
255,1004.9205653885,14.040441623723,-3.5627729461987,1231.8394756371,45.270753928355,-11.491766224884
256,1004.9218046458,-6.4268116295272,-1.5845224978575,1231.7559923107,-21.050266368836,-5.1880130748863
257,1004.9639746496,-2.346923521155,16.181547352869,1232.0896469973,-7.4769987225571,51.584365934236
258,1004.9740001468,0.17253077926571,6.4382887400587,1231.7565069805,0.56694051826323,21.087397759594
259,1004.9764996243,-5.6460713297967,1.0781747776567,1231.7643259886,-18.503042499939,3.534695274096
260,1004.9538792698,6.249799650111,2.8032426882201,1231.7555376517,20.464349956776,9.1767895765764
261,1004.9551062458,-12.864654234624,-0.37651477561875,1231.7662989249,-41.70112554835,-1.2169170455083
