X [m], Y [m], Z [m], MagneticFluxDensity X [T], MagneticFluxDensity Y [T], MagneticFluxDensity Z [T]
0.0105965, -0.00213067, -0.00627674, -0.0862453, -0.0038579, -0.0120856
0.0117132, -0.00258751, -0.00624679, -0.0906921, -0.00479998, -0.0122305
0.010563, -0.00220684, -0.00650115, -0.0861914, -0.00417758, -0.0128997
0.0118382, -0.000456842, -0.00697006, -0.0911593, -0.000655688, -0.013671
0.00179348, -0.000913683, 0.00694011, -0.0514329, -0.00195252, 0.0138772
0.00535988, -0.000567156, 0.00519533, -0.0656381, -0.00126706, 0.00983463
0.00178688, -0.00181173, 0.00676148, -0.0508986, -0.00260273, 0.0126207
0.00178269, -0.00426133, 0.00555347, -0.0507671, -0.00587515, 0.00918964
0.00357668, -0.00074042, 0.00606772, -0.0584287, -0.00185487, 0.0117207
0.00357338, -0.00118944, 0.0059784, -0.0584045, -0.00229574, 0.0113099
0.00179018, -0.00136271, 0.0068508, -0.051024, -0.00185603, 0.0124683
0.00178808, -0.00258751, 0.00624679, -0.0511901, -0.00345701, 0.0111032
0.00357129, -0.00241424, 0.0053744, -0.0581404, -0.00389752, 0.0106789
0.00178479, -0.00303653, 0.00615748, -0.0508246, -0.00388275, 0.0105723
0.0104716, -0.00426133, -0.00555347, -0.0855697, -0.00720283, -0.00886271
0.00817123, -0.0035, -0.00606218, -0.0770289, -0.00652289, -0.0111066
0.0129548, -0.000913683, -0.00694011, -0.095691, -0.00146266, -0.013528
0.0143686, -0.00181173, -0.00676148, -0.101403, -0.00328044, -0.0130409
0.00932139, -0.00388067, -0.00580783, -0.081525, -0.00708066, -0.0104551
0.010563, -0.00220684, -0.00650115, -0.0861914, -0.00417758, -0.0128997
